fault_type,fault_start_seq,first_detection_seq,lead_time_minutes,detected
CAMERA_OFFLINE_WEAK,91,42,49,True
CAMERA_OFFLINE_MEDIUM,91,37,54,True
CAMERA_OFFLINE_SEVERE,91,36,55,True
FPS_DEGRADATION_WEAK,91,43,48,True
FPS_DEGRADATION_MEDIUM,91,40,51,True
FPS_DEGRADATION_SEVERE,91,38,53,True
FRAME_DROP_WEAK,91,42,49,True
FRAME_DROP_MEDIUM,91,38,53,True
FRAME_DROP_SEVERE,91,37,54,True
LATENCY_DEGRADATION_WEAK,91,52,39,True
LATENCY_DEGRADATION_MEDIUM,91,45,46,True
LATENCY_DEGRADATION_SEVERE,91,43,48,True
BLUR_DEGRADATION_WEAK,91,232,-141,True
BLUR_DEGRADATION_MEDIUM,91,174,-83,True
BLUR_DEGRADATION_SEVERE,91,77,14,True
OCR_QUALITY_WEAK,91,232,-141,True
OCR_QUALITY_MEDIUM,91,194,-103,True
OCR_QUALITY_SEVERE,91,169,-78,True
RESOURCE_SATURATION_WEAK,91,72,19,True
RESOURCE_SATURATION_MEDIUM,91,63,28,True
RESOURCE_SATURATION_SEVERE,91,54,37,True
NETWORK_INSTABILITY_WEAK,91,32,59,True
NETWORK_INSTABILITY_MEDIUM,91,34,57,True
NETWORK_INSTABILITY_SEVERE,91,33,58,True
