fault_type,fault_start_seq,first_detection_seq,lead_time_minutes,detected
CAMERA_OFFLINE_WEAK,91,109,-18,True
CAMERA_OFFLINE_MEDIUM,91,103,-12,True
CAMERA_OFFLINE_SEVERE,91,101,-10,True
FPS_DEGRADATION_WEAK,91,118,-27,True
FPS_DEGRADATION_MEDIUM,91,109,-18,True
FPS_DEGRADATION_SEVERE,91,103,-12,True
FRAME_DROP_WEAK,91,111,-20,True
FRAME_DROP_MEDIUM,91,105,-14,True
FRAME_DROP_SEVERE,91,100,-9,True
LATENCY_DEGRADATION_WEAK,91,114,-23,True
LATENCY_DEGRADATION_MEDIUM,91,110,-19,True
LATENCY_DEGRADATION_SEVERE,91,108,-17,True
BLUR_DEGRADATION_WEAK,91,229,-138,True
BLUR_DEGRADATION_MEDIUM,91,166,-75,True
BLUR_DEGRADATION_SEVERE,91,171,-80,True
OCR_QUALITY_WEAK,91,287,-196,True
OCR_QUALITY_MEDIUM,91,179,-88,True
OCR_QUALITY_SEVERE,91,184,-93,True
RESOURCE_SATURATION_WEAK,91,156,-65,True
RESOURCE_SATURATION_MEDIUM,91,132,-41,True
RESOURCE_SATURATION_SEVERE,91,119,-28,True
NETWORK_INSTABILITY_WEAK,91,94,-3,True
NETWORK_INSTABILITY_MEDIUM,91,95,-4,True
NETWORK_INSTABILITY_SEVERE,91,101,-10,True
