fault_type,fault_start_seq,first_detection_seq,lead_time_minutes,detected
CAMERA_OFFLINE_WEAK,91,46,45,True
CAMERA_OFFLINE_MEDIUM,91,40,51,True
CAMERA_OFFLINE_SEVERE,91,37,54,True
FPS_DEGRADATION_WEAK,91,48,43,True
FPS_DEGRADATION_MEDIUM,91,44,47,True
FPS_DEGRADATION_SEVERE,91,41,50,True
FRAME_DROP_WEAK,91,47,44,True
FRAME_DROP_MEDIUM,91,41,50,True
FRAME_DROP_SEVERE,91,39,52,True
LATENCY_DEGRADATION_WEAK,91,50,41,True
LATENCY_DEGRADATION_MEDIUM,91,49,42,True
LATENCY_DEGRADATION_SEVERE,91,44,47,True
BLUR_DEGRADATION_WEAK,91,229,-138,True
BLUR_DEGRADATION_MEDIUM,91,166,-75,True
BLUR_DEGRADATION_SEVERE,91,90,1,True
OCR_QUALITY_WEAK,91,287,-196,True
OCR_QUALITY_MEDIUM,91,179,-88,True
OCR_QUALITY_SEVERE,91,184,-93,True
RESOURCE_SATURATION_WEAK,91,71,20,True
RESOURCE_SATURATION_MEDIUM,91,69,22,True
RESOURCE_SATURATION_SEVERE,91,52,39,True
NETWORK_INSTABILITY_WEAK,91,33,58,True
NETWORK_INSTABILITY_MEDIUM,91,31,60,True
NETWORK_INSTABILITY_SEVERE,91,33,58,True
