fault_type,precision,recall,f1,total_seq,risk_seq
CAMERA_OFFLINE_WEAK,0.9088,0.9633,0.9353,451,300
CAMERA_OFFLINE_MEDIUM,0.8963,0.98,0.9363,451,300
CAMERA_OFFLINE_SEVERE,0.9105,0.9833,0.9455,451,300
FPS_DEGRADATION_WEAK,0.9085,0.96,0.9335,451,300
FPS_DEGRADATION_MEDIUM,0.9094,0.97,0.9387,451,300
FPS_DEGRADATION_SEVERE,0.9071,0.9767,0.9406,451,300
FRAME_DROP_WEAK,0.9088,0.9633,0.9353,451,300
FRAME_DROP_MEDIUM,0.9099,0.9767,0.9421,451,300
FRAME_DROP_SEVERE,0.9102,0.98,0.9438,451,300
LATENCY_DEGRADATION_WEAK,0.9055,0.9267,0.916,451,300
LATENCY_DEGRADATION_MEDIUM,0.9079,0.9533,0.9301,451,300
LATENCY_DEGRADATION_SEVERE,0.9085,0.96,0.9335,451,300
BLUR_DEGRADATION_WEAK,0.8115,0.33,0.4692,451,300
BLUR_DEGRADATION_MEDIUM,0.8065,0.5,0.6173,451,300
BLUR_DEGRADATION_SEVERE,0.8766,0.6867,0.7701,451,300
OCR_QUALITY_WEAK,0.7576,0.1667,0.2732,451,300
OCR_QUALITY_MEDIUM,0.8438,0.45,0.587,451,300
OCR_QUALITY_SEVERE,0.8556,0.5333,0.6571,451,300
RESOURCE_SATURATION_WEAK,0.8885,0.77,0.825,451,300
RESOURCE_SATURATION_MEDIUM,0.8993,0.8633,0.881,451,300
RESOURCE_SATURATION_SEVERE,0.9052,0.9233,0.9142,451,300
NETWORK_INSTABILITY_WEAK,0.9116,0.9967,0.9522,451,300
NETWORK_INSTABILITY_MEDIUM,0.911,0.99,0.9489,451,300
NETWORK_INSTABILITY_SEVERE,0.9113,0.9933,0.9506,451,300
