fault_type,precision,recall,f1,total_seq,fault_seq
CAMERA_OFFLINE_WEAK,0.3651,0.925,0.5236,6691,240
CAMERA_OFFLINE_MEDIUM,0.3713,0.95,0.534,6691,240
CAMERA_OFFLINE_SEVERE,0.3734,0.9583,0.5374,6691,240
FPS_DEGRADATION_WEAK,0.3556,0.8875,0.5077,6691,240
FPS_DEGRADATION_MEDIUM,0.3651,0.925,0.5236,6691,240
FPS_DEGRADATION_SEVERE,0.3713,0.95,0.534,6691,240
FRAME_DROP_WEAK,0.363,0.9167,0.5201,6691,240
FRAME_DROP_MEDIUM,0.3693,0.9417,0.5305,6691,240
FRAME_DROP_SEVERE,0.3744,0.9625,0.5391,6691,240
LATENCY_DEGRADATION_WEAK,0.3588,0.9,0.5131,6691,240
LATENCY_DEGRADATION_MEDIUM,0.3641,0.9208,0.5218,6691,240
LATENCY_DEGRADATION_SEVERE,0.3662,0.9292,0.5253,6691,240
BLUR_DEGRADATION_WEAK,0.1296,0.2333,0.1667,6691,240
BLUR_DEGRADATION_MEDIUM,0.2694,0.5917,0.3703,6691,240
BLUR_DEGRADATION_SEVERE,0.2936,0.6667,0.4076,6691,240
OCR_QUALITY_WEAK,0.0846,0.1375,0.1048,6691,240
OCR_QUALITY_MEDIUM,0.2013,0.4,0.2678,6691,240
OCR_QUALITY_SEVERE,0.2755,0.6083,0.3792,6691,240
RESOURCE_SATURATION_WEAK,0.3107,0.725,0.435,6691,240
RESOURCE_SATURATION_MEDIUM,0.3402,0.8292,0.4824,6691,240
RESOURCE_SATURATION_SEVERE,0.3545,0.8833,0.506,6691,240
NETWORK_INSTABILITY_WEAK,0.3804,0.9875,0.5492,6691,240
NETWORK_INSTABILITY_MEDIUM,0.3794,0.9833,0.5476,6691,240
NETWORK_INSTABILITY_SEVERE,0.3734,0.9583,0.5374,6691,240
EXTERNAL_TRAFFIC_NORMAL_DEVICE,0.0,0.0,0.0,7171,0
