fault_type,precision,recall,f1,total_seq,risk_seq
CAMERA_OFFLINE_WEAK,0.9076,0.95,0.9283,451,300
CAMERA_OFFLINE_MEDIUM,0.8534,0.97,0.908,451,300
CAMERA_OFFLINE_SEVERE,0.9102,0.98,0.9438,451,300
FPS_DEGRADATION_WEAK,0.9071,0.9433,0.9248,451,300
FPS_DEGRADATION_MEDIUM,0.9082,0.9567,0.9318,451,300
FPS_DEGRADATION_SEVERE,0.9006,0.9667,0.9325,451,300
FRAME_DROP_WEAK,0.9016,0.9467,0.9236,451,300
FRAME_DROP_MEDIUM,0.9091,0.9667,0.937,451,300
FRAME_DROP_SEVERE,0.9097,0.9733,0.9404,451,300
LATENCY_DEGRADATION_WEAK,0.9061,0.9333,0.9195,451,300
LATENCY_DEGRADATION_MEDIUM,0.884,0.94,0.9111,451,300
LATENCY_DEGRADATION_SEVERE,0.8619,0.9567,0.9068,451,300
BLUR_DEGRADATION_WEAK,0.7467,0.1867,0.2987,451,300
BLUR_DEGRADATION_MEDIUM,0.8208,0.4733,0.6004,451,300
BLUR_DEGRADATION_SEVERE,0.7838,0.58,0.6667,451,300
OCR_QUALITY_WEAK,1.0,0.11,0.1982,451,300
OCR_QUALITY_MEDIUM,0.7934,0.32,0.4561,451,300
OCR_QUALITY_SEVERE,0.7978,0.4867,0.6046,451,300
RESOURCE_SATURATION_WEAK,0.875,0.6767,0.7632,451,300
RESOURCE_SATURATION_MEDIUM,0.8945,0.82,0.8557,451,300
RESOURCE_SATURATION_SEVERE,0.9058,0.93,0.9178,451,300
NETWORK_INSTABILITY_WEAK,0.9113,0.9933,0.9506,451,300
NETWORK_INSTABILITY_MEDIUM,0.9116,0.9967,0.9522,451,300
NETWORK_INSTABILITY_SEVERE,0.9113,0.9933,0.9506,451,300
